GameOver TIMESTEP: 3007, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.941117e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9116666666666657, Standard Deviation Of Score: 0.07977398629182851, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3057, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.145934e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9114754098360645, Standard Deviation Of Score: 0.07913126810588278, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3107, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.672343e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.911290322580644, Standard Deviation Of Score: 0.07850382918476072, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3157, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.383500e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.91111111111111, Standard Deviation Of Score: 0.07789107394530322, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3207, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.423315e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9109374999999984, Standard Deviation Of Score: 0.07729243878769745, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3257, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 3.543183e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.910769230769229, Standard Deviation Of Score: 0.0767073899219561, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3304, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.024823e-02, Episode Reward: 3.5999999999999996, Average Reward: 3.9060606060606045, Standard Deviation Of Score: 0.08506465968253424, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3354, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.731576e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9059701492537293, Standard Deviation Of Score: 0.08443066044018448, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3404, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.586364e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.905882352941174, Standard Deviation Of Score: 0.08381062852220562, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3454, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.016996e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9057971014492727, Standard Deviation Of Score: 0.08320405851830301, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3504, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.158760e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.905714285714283, Standard Deviation Of Score: 0.08261047025600518, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3554, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.294720e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.905633802816898, Standard Deviation Of Score: 0.08202940720316046, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3604, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.974662e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9055555555555546, Standard Deviation Of Score: 0.08146043499230626, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3654, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.825836e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.9054794520547933, Standard Deviation Of Score: 0.08090314005607314, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3704, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.297296e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.905405405405404, Standard Deviation Of Score: 0.08035712836388353, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3723, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.513476e-02, Episode Reward: 0.8000000000000005, Average Reward: 3.8639999999999985, Standard Deviation Of Score: 0.36501689458617276, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3761, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.518911e-02, Episode Reward: 2.700000000000002, Average Reward: 3.848684210526314, Standard Deviation Of Score: 0.38610518782642855, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3811, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.195024e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8493506493506477, Standard Deviation Of Score: 0.3836338137065848, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3861, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.557028e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.849999999999998, Standard Deviation Of Score: 0.38120927693395984, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3911, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.699097e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.850632911392403, Standard Deviation Of Score: 0.3788301171382988, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 3961, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.671675e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.851249999999999, Standard Deviation Of Score: 0.37649493688494634, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4011, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.406817e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8518518518518503, Standard Deviation Of Score: 0.37420239823155776, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4061, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.447011e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.852439024390242, Standard Deviation Of Score: 0.3719512195121948, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4111, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.201701e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.853012048192769, Standard Deviation Of Score: 0.36974017233127865, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4150, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.780264e-02, Episode Reward: 2.800000000000002, Average Reward: 3.840476190476189, Standard Deviation Of Score: 0.3848682667698644, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4200, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 3.681713e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.841176470588233, Standard Deviation Of Score: 0.38265146717178466, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4250, STATE: observe, EPSILON: 0.4, ACTION: 0, REWARD: -1, Q_MAX: 4.048055e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8418604651162767, Standard Deviation Of Score: 0.38047250803077115, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 4300, STATE: observe, EPSILON: 0.4, ACTION: 1, REWARD: -1, Q_MAX: 4.513101e-02, Episode Reward: 3.8999999999999986, Average Reward: 3.8425287356321816, Standard Deviation Of Score: 0.3783303257487558, Flaps: 0, Average Flaps: 0.0, Standard Deviation Of Flaps: 0.0
